,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
194,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
195,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
196,Yeah,Yeah,Yeah,In particular article,Sometimes,Fast,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
197,No,No,No,In particular article,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Type_dyscalculie
198,No,No,No,In all materials,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyslexie
199,No,No,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
200,Yeah,Yeah,No,In all materials,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dyscalculie
201,Yeah,No,No,In all materials,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
202,Yeah,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
203,No,No,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
204,Yeah,No,Yeah,In all materials,Sometimes,Average,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
205,No,No,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dyslexie
206,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dyscalculie
207,No,Yeah,No,In particular article,Repeatedly / always,Slow,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dysgraphie
208,No,No,No,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
209,No,Yeah,No,In all materials,Repeatedly / always,Fast,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dysgraphie
210,Yeah,No,No,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Type_dysgraphie
211,Yeah,No,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dysgraphie
212,Yeah,No,No,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
213,No,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
214,Yeah,No,Yeah,In particular article,Rarely / never,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyscalculie
215,No,No,No,In all materials,Repeatedly / always,Slow,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
216,Yeah,No,Yeah,In particular article,Rarely / never,Average,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
217,No,Yeah,Yeah,In all materials,Rarely / never,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
218,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Fast,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Type_dyscalculie
219,Yeah,Yeah,No,In all materials,Repeatedly / always,Fast,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Type_dyslexie
220,Yeah,Yeah,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
221,Yeah,Yeah,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Type_dysgraphie
222,No,Yeah,Yeah,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
223,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
224,Yeah,No,Yeah,In particular article,Rarely / never,Average,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
225,No,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
226,Yeah,No,No,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dyscalculie
227,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dyscalculie
228,Yeah,Yeah,Yeah,In particular article,Sometimes,Average,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dysgraphie
229,Yeah,No,No,In all materials,Repeatedly / always,Fast,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
230,No,Yeah,No,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
231,No,Yeah,No,In all materials,Rarely / never,Average,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dysgraphie
232,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
233,Yeah,Yeah,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
234,Yeah,No,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
235,No,No,No,In all materials,Rarely / never,Average,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Type_dyscalculie
236,No,No,Yeah,In particular article,Rarely / never,Slow,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dyslexie
237,Yeah,No,No,In all materials,Sometimes,Average,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
238,No,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyscalculie
239,Yeah,No,Yeah,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
240,Yeah,Yeah,No,In particular article,Repeatedly / always,Average,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
241,Yeah,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
242,No,Yeah,No,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
243,No,Yeah,No,In particular article,Sometimes,Slow,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Type_dyscalculie
244,No,No,Yeah,In particular article,Repeatedly / always,Fast,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
245,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Slow,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
246,No,Yeah,No,In particular article,Rarely / never,Fast,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
247,No,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
248,No,No,Yeah,In all materials,Repeatedly / always,Slow,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
249,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
250,Yeah,Yeah,No,In particular article,Rarely / never,Average,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Type_dyscalculie
251,Yeah,Yeah,No,In all materials,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
252,Yeah,Yeah,No,In particular article,Sometimes,Slow,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
253,Yeah,No,Yeah,In all materials,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dyslexie
254,Yeah,Yeah,No,In all materials,Sometimes,Fast,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Type_dysgraphie
255,Yeah,No,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
256,No,Yeah,No,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
257,Yeah,Yeah,No,In particular article,Rarely / never,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dysgraphie
258,No,No,No,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dysgraphie
259,No,Yeah,Yeah,In particular article,Sometimes,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
260,No,No,Yeah,In all materials,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Type_dyslexie
261,Yeah,Yeah,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
262,No,No,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dyslexie
263,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
264,Yeah,Yeah,No,In particular article,Repeatedly / always,Average,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dysgraphie
265,No,No,Yeah,In particular article,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
266,Yeah,No,No,In particular article,Rarely / never,Average,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Type_dyslexie
267,No,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
268,Yeah,Yeah,Yeah,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
269,No,Yeah,Yeah,In all materials,Sometimes,Average,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
270,Yeah,No,No,In all materials,Sometimes,Fast,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dyscalculie
271,Yeah,Yeah,No,In particular article,Repeatedly / always,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
272,Yeah,Yeah,Yeah,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
273,Yeah,No,No,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
274,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Concentration
275,No,Yeah,Yeah,In all materials,Rarely / never,Slow,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
276,No,No,No,In all materials,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
277,No,No,No,In particular article,Sometimes,Fast,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Concentration
278,No,No,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
279,No,No,Yeah,In particular article,Sometimes,Average,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
280,No,Yeah,Yeah,In particular article,Rarely / never,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
